TXN_ID,Product,Store,Date,Revenue,Quantity
APPLE_WEB_00000,AirPods Max,Sydney-GeorgeSt,2024-04-16,1391.2002005156116,1.0
APPLE_WEB_00001,Apple Watch Ultra,Sydney-GeorgeSt,2024-03-28,3262.9127542332044,2.0
APPLE_WEB_00004,Apple Watch Ultra,Paris-Opera,2024-06-18,413.44074477914216,2.0
APPLE_WEB_00005,Apple Watch Ultra,Paris-Opera,2024-02-20,1826.8788345002506,2.0
APPLE_WEB_00006,iPhone 15 Pro,Sydney-GeorgeSt,2024-05-14,1701.9909502456924,1.0
APPLE_WEB_00007,MacBook Air M3,London-RegentSt,2024-01-14,173.7029191087502,1.0
APPLE_WEB_00011,MacBook Air M3,London-RegentSt,2024-02-13,1503.9190302420523,2.0
APPLE_WEB_00014,iPhone 15 Pro,Sydney-GeorgeSt,2024-05-03,1331.2587109573958,1.0
APPLE_WEB_00015,iPhone 15 Pro,NYC-FifthAve,2024-03-11,5664.807650282228,2.0
APPLE_WEB_00017,iPhone 15 Pro,Paris-Opera,2024-02-10,4342.170230024017,2.0
APPLE_WEB_00019,iPad Pro,NYC-FifthAve,2024-02-04,2121.67354457504,1.0
APPLE_WEB_00020,Vision Pro,London-RegentSt,2024-01-05,3403.6697614612794,1.0
APPLE_WEB_00021,Apple Watch Ultra,London-RegentSt,2024-03-30,265.26119674451365,1.0
APPLE_WEB_00022,Apple Watch Ultra,Sydney-GeorgeSt,2024-02-21,1617.5874237405703,2.0
APPLE_WEB_00023,AirPods Max,Tokyo-Ginza,2024-05-22,1197.0940026956023,2.0
APPLE_WEB_00024,MacBook Air M3,Paris-Opera,2024-03-26,6612.833065560792,2.0
APPLE_WEB_00025,Apple Watch Ultra,Paris-Opera,2024-05-13,5704.73135826417,2.0
APPLE_WEB_00026,Apple Watch Ultra,London-RegentSt,2024-03-15,757.7410984459408,1.0
APPLE_WEB_00027,Vision Pro,Tokyo-Ginza,2024-04-30,1200.6717106551812,1.0
APPLE_WEB_00030,Vision Pro,NYC-FifthAve,2024-06-28,866.2354199612467,1.0
APPLE_WEB_00031,iPad Pro,London-RegentSt,2024-02-08,984.6949449587416,1.0
APPLE_WEB_00032,MacBook Air M3,London-RegentSt,2024-04-22,1256.1059078859153,2.0
APPLE_WEB_00033,Vision Pro,Tokyo-Ginza,2024-05-08,604.9667834249283,2.0
APPLE_WEB_00035,Apple Watch Ultra,Sydney-GeorgeSt,2024-02-07,5391.316207315556,2.0
APPLE_WEB_00036,iPhone 15 Pro,NYC-FifthAve,2024-05-23,4527.99025052843,2.0
APPLE_WEB_00037,Apple Watch Ultra,Paris-Opera,2024-01-03,1841.6298776162218,1.0
APPLE_WEB_00038,Apple Watch Ultra,Paris-Opera,2024-05-26,871.2123302958978,1.0
APPLE_WEB_00039,iPad Pro,NYC-FifthAve,2024-03-22,4914.920354810621,2.0
APPLE_WEB_00041,Apple Watch Ultra,NYC-FifthAve,2024-04-21,1798.4271469137998,2.0
APPLE_WEB_00042,AirPods Max,Sydney-GeorgeSt,2024-05-19,2015.9886383569567,2.0
APPLE_WEB_00043,iPad Pro,Tokyo-Ginza,2024-04-08,4525.103822021826,2.0
APPLE_WEB_00044,iPad Pro,Paris-Opera,2024-05-31,3118.481249773445,1.0
APPLE_WEB_00046,Vision Pro,London-RegentSt,2024-04-02,941.9181989170564,2.0
APPLE_WEB_00047,iPhone 15 Pro,Paris-Opera,2024-06-17,3531.036699171167,2.0
APPLE_WEB_00052,iPhone 15 Pro,Tokyo-Ginza,2024-01-04,1809.4487079480825,2.0
APPLE_WEB_00053,Vision Pro,Sydney-GeorgeSt,2024-02-15,725.862989601755,1.0
APPLE_WEB_00054,Vision Pro,NYC-FifthAve,2024-04-02,2648.812268034285,1.0
APPLE_WEB_00056,iPhone 15 Pro,London-RegentSt,2024-03-07,1544.7403499533323,2.0
APPLE_WEB_00058,MacBook Air M3,Tokyo-Ginza,2024-05-06,4781.507303394101,2.0
APPLE_WEB_00059,Vision Pro,Tokyo-Ginza,2024-05-16,2431.9921509681676,2.0
APPLE_WEB_00060,MacBook Air M3,Tokyo-Ginza,2024-01-26,1992.003322179649,1.0
APPLE_WEB_00061,Apple Watch Ultra,NYC-FifthAve,2024-05-14,2189.8012056173434,1.0
APPLE_WEB_00066,Apple Watch Ultra,Sydney-GeorgeSt,2024-04-17,3777.9195727693814,2.0
APPLE_WEB_00067,Apple Watch Ultra,Tokyo-Ginza,2024-02-16,606.3348006764159,2.0
APPLE_WEB_00068,iPhone 15 Pro,Tokyo-Ginza,2024-06-06,6835.243015577484,2.0
APPLE_WEB_00069,MacBook Air M3,Sydney-GeorgeSt,2024-03-30,1041.7046867531901,1.0
APPLE_WEB_00070,iPhone 15 Pro,Sydney-GeorgeSt,2024-05-19,803.0837949999124,2.0
APPLE_WEB_00072,AirPods Max,Sydney-GeorgeSt,2024-05-08,1490.5168205032514,2.0
APPLE_WEB_00074,Vision Pro,NYC-FifthAve,2024-02-16,2562.2689536685466,2.0
APPLE_WEB_00075,MacBook Air M3,London-RegentSt,2024-05-23,6859.900962908968,2.0
APPLE_WEB_00078,Apple Watch Ultra,Sydney-GeorgeSt,2024-03-09,6549.360716455715,2.0
APPLE_WEB_00079,Apple Watch Ultra,Tokyo-Ginza,2024-05-07,733.6333574788971,2.0
APPLE_WEB_00080,AirPods Max,NYC-FifthAve,2024-02-02,2411.0573138306486,1.0
APPLE_WEB_00081,MacBook Air M3,NYC-FifthAve,2024-03-05,2894.5550332571297,1.0
APPLE_WEB_00083,AirPods Max,London-RegentSt,2024-03-21,894.5455554949574,2.0
APPLE_WEB_00084,Apple Watch Ultra,NYC-FifthAve,2024-04-24,4852.0761288766025,2.0
APPLE_WEB_00085,iPhone 15 Pro,Paris-Opera,2024-06-05,2477.0042472771875,1.0
APPLE_WEB_00086,iPad Pro,NYC-FifthAve,2024-04-10,3389.746458623234,1.0
APPLE_WEB_00089,iPhone 15 Pro,Paris-Opera,2024-03-02,953.0548759541858,2.0
APPLE_WEB_00090,AirPods Max,Paris-Opera,2024-04-09,1132.0305380963778,1.0
APPLE_WEB_00092,Apple Watch Ultra,Tokyo-Ginza,2024-03-09,1790.4964666909827,1.0
APPLE_WEB_00095,Apple Watch Ultra,London-RegentSt,2024-03-15,2612.8098263857,1.0
APPLE_WEB_00097,AirPods Max,London-RegentSt,2024-05-01,374.2113314473322,1.0
APPLE_WEB_00098,Vision Pro,NYC-FifthAve,2024-04-18,829.8061929341935,2.0
APPLE_WEB_00099,Apple Watch Ultra,Paris-Opera,2024-02-14,1853.2582054172108,2.0
APPLE_WEB_00101,MacBook Air M3,Sydney-GeorgeSt,2024-06-21,6366.828555538521,2.0
APPLE_WEB_00103,iPhone 15 Pro,NYC-FifthAve,2024-04-22,5286.342486248953,2.0
APPLE_WEB_00104,AirPods Max,Sydney-GeorgeSt,2024-06-21,1599.4517525140936,1.0
APPLE_WEB_00105,iPad Pro,Tokyo-Ginza,2024-06-12,6264.304586324999,2.0
APPLE_WEB_00107,Vision Pro,London-RegentSt,2024-01-12,4955.274876522112,2.0
APPLE_WEB_00108,Apple Watch Ultra,Paris-Opera,2024-05-01,977.5358844078607,2.0
APPLE_WEB_00109,AirPods Max,Paris-Opera,2024-01-28,1437.4644540458692,1.0
